octree.depth , gpu.grid-partition-size,gpu.memory.cache-enabled,gpu.memory.cache-lines-per-way, mem.cache.l1.hit_count , mem.cache.l1.miss_count , mem.external.read_access_count
8 , 10 , 0 , 256 , 0  ,  0  ,  384007
8 , 20 , 0 , 256 , 0  ,  0  ,  428618
8 , 200 , 0 , 256 , 0  ,  0  ,  473841
8 , 2 , 0 , 32 , 0  ,  0  ,  119388
8 , 10 , 1 , 64 , 182095  ,  201912  ,  201912
8 , 20 , 1 , 128 , 203169  ,  225449  ,  225449
8 , 200 , 1 , 256 , 214403  ,  259438  ,  259438
8 , 10 , 0 , 32 , 0  ,  0  ,  384007
8 , 20 , 0 , 32 , 0  ,  0  ,  428618
8 , 200 , 0 , 32 , 0  ,  0  ,  473841
8 , 2 , 1 , 64 , 49080  ,  70308  ,  70308
8 , 2 , 1 , 128 , 49082  ,  70306  ,  70306
8 , 2 , 1 , 256 , 49082  ,  70306  ,  70306
